CG_ID	HU_ID	HaT13l_ID	AGI_ID from HU	AGI_ID from HaT13l	name from Hu	name from HaT13l	description from Hu	description from HAt13l				
CG1944	HuCL15555C001	HaT13l022049	AT5G57050	AT5G57050	ABI2	ABI2	Encodes a protein phosphatase 2C and is involved in ABA signal transduction. Binds fibrillin preprotein in vitro and in vivo.   protein_coding  ABA INSENSITIVE 2 (ABI2)        ABA INSENSITIVE 2 (ABI2); (AtABI2)	Encodes a protein phosphatase 2C and is involved in ABA signal transduction. Binds fibrillin preprotein in vitro and in vivo.   protein_coding  ABA INSENSITIVE 2 (ABI2)        ABA INSENSITIVE 2 (ABI2); (AtABI2)				
CG1945	HuCL15795C001	HaT13l012094	AT2G16890	AT2G16890	HuCL15795C001	HaT13l012094	"UDP-Glycosyltransferase superfamily protein; FUNCTIONS IN: transferase activity, transferring hexosyl groups, UDP-glycosyltransferase activity, transferase activity, transferring glycosyl groups; INVOLVED IN: metabolic process; LOCATED IN: endomembrane system; EXPRESSED IN: 17 plant structures; EXPRESSED DURING: 7 growth stages; CONTAINS InterPro DOMAIN/s: UDP-glucuronosyl/UDP-glucosyltransferase (InterPro:IPR002213), Tudor subgroup (InterPro:IPR018351); BEST Arabidopsis thaliana protein match is: UDP-Glycosyltransferase superfamily protein (TAIR:AT5G14860.1); Has 7578 Blast hits to 7495 proteins in 486 species: Archae - 0; Bacteria - 511; Metazoa - 1925; Fungi - 34; Plants - 4955; Viruses - 98; Other Eukaryotes - 55 (source: NCBI BLink)."	"UDP-Glycosyltransferase superfamily protein; FUNCTIONS IN: transferase activity, transferring hexosyl groups, UDP-glycosyltransferase activity, transferase activity, transferring glycosyl groups; INVOLVED IN: metabolic process; LOCATED IN: endomembrane system; EXPRESSED IN: 17 plant structures; EXPRESSED DURING: 7 growth stages; CONTAINS InterPro DOMAIN/s: UDP-glucuronosyl/UDP-glucosyltransferase (InterPro:IPR002213), Tudor subgroup (InterPro:IPR018351); BEST Arabidopsis thaliana protein match is: UDP-Glycosyltransferase superfamily protein (TAIR:AT5G14860.1); Has 7578 Blast hits to 7495 proteins in 486 species: Archae - 0; Bacteria - 511; Metazoa - 1925; Fungi - 34; Plants - 4955; Viruses - 98; Other Eukaryotes - 55 (source: NCBI BLink)."				
CG1946	HuCL17760C001	HaT13l100046	NA	NA	HuCL17760C001	HaT13l100046	unknown protein	unknown protein				
CG1947	HuCL18165C001	HaT13l006316	AT5G39000	AT5G39000	HuCL18165C001	HaT13l006316	"Malectin/receptor-like protein kinase family protein; FUNCTIONS IN: kinase activity; INVOLVED IN: protein amino acid phosphorylation; LOCATED IN: endomembrane system; CONTAINS InterPro DOMAIN/s: Protein kinase, ATP binding site (InterPro:IPR017441), Malectin/receptor-like protein kinase (InterPro:IPR021720), Protein kinase, catalytic domain (InterPro:IPR000719), Serine-threonine/tyrosine-protein kinase (InterPro:IPR001245), Protein kinase-like domain (InterPro:IPR011009), Serine/threonine-protein kinase, active site (InterPro:IPR008271); BEST Arabidopsis thaliana protein match is: Malectin/receptor-like protein kinase family protein (TAIR:AT5G38990.1); Has 116422 Blast hits to 114937 proteins in 4415 species: Archae - 91; Bacteria - 12945; Metazoa - 43415; Fungi - 9851; Plants - 32921; Viruses - 374; Other Eukaryotes - 16825 (source: NCBI BLink)."	"Malectin/receptor-like protein kinase family protein; FUNCTIONS IN: kinase activity; INVOLVED IN: protein amino acid phosphorylation; LOCATED IN: endomembrane system; CONTAINS InterPro DOMAIN/s: Protein kinase, ATP binding site (InterPro:IPR017441), Malectin/receptor-like protein kinase (InterPro:IPR021720), Protein kinase, catalytic domain (InterPro:IPR000719), Serine-threonine/tyrosine-protein kinase (InterPro:IPR001245), Protein kinase-like domain (InterPro:IPR011009), Serine/threonine-protein kinase, active site (InterPro:IPR008271); BEST Arabidopsis thaliana protein match is: Malectin/receptor-like protein kinase family protein (TAIR:AT5G38990.1); Has 116422 Blast hits to 114937 proteins in 4415 species: Archae - 91; Bacteria - 12945; Metazoa - 43415; Fungi - 9851; Plants - 32921; Viruses - 374; Other Eukaryotes - 16825 (source: NCBI BLink)."				
CG1948	HuCL18239C001	HaT13l112014	NA	NA	HuCL18239C001	HaT13l112014	unknown protein	unknown protein				
CG1950	HuDY903960	HaT13l008675	AT3G18670	AT3G18670	HuDY903960	HaT13l008675	"Ankyrin repeat family protein; CONTAINS InterPro DOMAIN/s: Ankyrin repeat-containing domain (InterPro:IPR020683), Ankyrin repeat (InterPro:IPR002110); BEST Arabidopsis thaliana protein match is: Ankyrin repeat family protein (TAIR:AT5G04700.1); Has 4772 Blast hits to 3121 proteins in 218 species: Archae - 7; Bacteria - 222; Metazoa - 2187; Fungi - 197; Plants - 1396; Viruses - 2; Other Eukaryotes - 761 (source: NCBI BLink)."	"Ankyrin repeat family protein; CONTAINS InterPro DOMAIN/s: Ankyrin repeat-containing domain (InterPro:IPR020683), Ankyrin repeat (InterPro:IPR002110); BEST Arabidopsis thaliana protein match is: Ankyrin repeat family protein (TAIR:AT5G04700.1); Has 4772 Blast hits to 3121 proteins in 218 species: Archae - 7; Bacteria - 222; Metazoa - 2187; Fungi - 197; Plants - 1396; Viruses - 2; Other Eukaryotes - 761 (source: NCBI BLink)."				
CG1951	HuDY909416	HaT13l012213	NA	AT4G11650	HuDY909416	OSM34		osmotin-like protein				
CG1952	HuDY910165	HaT13l021478	AT1G78000	AT1G78000	SULTR1	SULTR1	 sulfate transporter 1;2 	 sulfate transporter 1;2 				
CG1953	HuDY922542	HaT13l200983	AT5G06260	AT5G06260	HuDY922542	HaT13l200983	"TLD-domain containing nucleolar protein; FUNCTIONS IN: calcium ion binding; INVOLVED IN: N-terminal protein myristoylation; LOCATED IN: cellular_component unknown; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: TLDc (InterPro:IPR006571), EF-Hand 1, calcium-binding site (InterPro:IPR018247), EF-HAND 2 (InterPro:IPR018249), EF-hand-like domain (InterPro:IPR011992); BEST Arabidopsis thaliana protein match is: Calcium-binding EF-hand family protein (TAIR:AT4G34070.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink)."	"TLD-domain containing nucleolar protein; FUNCTIONS IN: calcium ion binding; INVOLVED IN: N-terminal protein myristoylation; LOCATED IN: cellular_component unknown; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: TLDc (InterPro:IPR006571), EF-Hand 1, calcium-binding site (InterPro:IPR018247), EF-HAND 2 (InterPro:IPR018249), EF-hand-like domain (InterPro:IPR011992); BEST Arabidopsis thaliana protein match is: Calcium-binding EF-hand family protein (TAIR:AT4G34070.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink)."				
CG1954	HuDY923102	HaT13l085558	AT2G16280	AT2G16280	KCS9	KCS9	"Encodes KCS9, a member of the 3-ketoacyl-CoA synthase family involved in the biosynthesis of VLCFA (very long chain fatty acids).       protein_coding  3-KETOACYL-COA SYNTHASE 9 (KCS9)        3-KETOACYL-COA SYNTHASE 9 (KCS9)"	"Encodes KCS9, a member of the 3-ketoacyl-CoA synthase family involved in the biosynthesis of VLCFA (very long chain fatty acids).       protein_coding  3-KETOACYL-COA SYNTHASE 9 (KCS9)        3-KETOACYL-COA SYNTHASE 9 (KCS9)"				
